iso,companies,clients,beneficiaries,shareholders
AR,270,78,326,912
MC,3175,133,127,681
MN,0,0,1,46
BW,6,2,7,107
KH,0,0,2,17
CI,21,2,1,26
CU,11,7,6,14
CR,888,115,69,401
CZ,34,9,27,197
GW,0,0,1,1
HU,90,10,18,140
MM,0,0,0,18
NP,0,0,0,7
AN,601,24,0,87
NL,177,44,24,240
SL,0,0,0,4
SX,1,1,1,0
SK,1,0,6,109
SI,21,2,9,36
SB,0,0,1,1
SO,0,0,1,31
ZA,109,56,128,1883
ES,1200,166,89,558
SD,1,1,0,9
TR,101,10,152,517
DJ,1,1,1,1
DK,14,9,2,49
FI,65,12,2,31
EG,38,20,21,270
ET,0,0,0,2
DO,486,57,67,192
FJ,0,0,0,3
GE,1,0,15,59
FR,285,77,108,757
GY,0,0,1,1
ID,28,10,60,1021
IN,21,4,40,384
IE,322,36,17,215
JP,24,10,45,360
KG,0,0,1,0
KE,26,13,18,168
KR,8,5,7,171
ML,8,0,1,19
LV,1380,10,21,81
KZ,4,1,44,139
LY,2,1,9,46
MW,1,1,4,33
LR,1,1,3,134
LI,2066,11,43,1126
MV,0,0,0,17
LT,33,2,3,26
MA,41,2,11,60
MZ,3,3,10,18
TJ,0,0,1,6
BA,0,0,1,3
BG,50,6,16,93
BJ,0,0,1,8
AD,489,18,5,32
PT,244,23,34,255
NR,1,0,1,14
NE,0,0,0,1
NO,107,10,48,179
SA,106,33,63,666
RS,0,0,2,28
LK,3,3,0,22
SR,0,0,0,6
CH,38433,323,308,3467
SY,4,4,4,51
TZ,3,3,3,43
AI,23,0,1,266
AS,1,0,1,15
DZ,0,0,0,19
AW,27,3,0,30
AG,21,2,8,46
AL,2,0,3,22
AO,10,1,18,40
BS,4987,105,32,1670
BE,60,35,33,243
BY,16,2,12,52
AU,95,37,68,893
BB,34,12,5,34
BD,2,0,1,22
AZ,8,0,19,73
AT,24,4,16,71
BZ,1351,9,6,558
CL,141,19,31,147
TD,11,0,0,52
CA,347,87,72,783
CF,1,0,0,42
CM,1,0,0,66
CO,1861,231,249,996
CD,0,0,8,39
CN,3213,253,2359,22930
HR,3,3,8,22
BO,95,18,8,35
BR,1399,40,292,1659
BF,0,0,0,1
TM,0,0,2,5
VU,4,2,1,47
BN,1,0,0,43
UA,274,13,103,375
TH,963,21,40,757
TN,4,3,5,25
UG,1,1,0,8
AE,7271,85,206,2779
GB,9670,329,549,4497
US,3072,441,211,3467
UY,4909,294,262,1549
UZ,5,0,14,59
VE,751,146,84,541
VN,7,4,8,92
YE,1,0,0,8
ZW,8,5,65,238
ZM,2,2,3,45
BM,142,23,9,290
AM,0,0,8,20
BH,13,11,5,74
KY,106,32,23,659
DM,66,1,26,138
EE,880,7,22,80
EC,1864,76,148,774
CV,0,0,0,27
CW,30,2,11,95
GG,7333,236,77,4451
CY,3636,109,142,2011
CK,1,0,0,15
GQ,0,0,1,1
SV,234,28,11,85
GR,223,64,57,285
GI,2039,65,81,962
GH,3,1,10,24
DE,173,53,27,251
GD,0,0,0,2
GM,0,0,0,8
GU,1,0,0,4
GA,0,0,8,23
GN,0,0,1,7
HK,37919,2192,1193,12761
IS,15,8,6,207
HN,24,9,5,14
IM,4913,205,93,2355
IT,346,27,150,684
MQ,0,0,3,4
MY,36,15,78,1456
MD,2,1,12,52
HT,8,0,0,229
GT,1234,33,129,368
IR,4,1,11,130
IQ,0,0,6,32
IL,663,53,196,779
JM,4,0,1,23
JE,14364,314,115,9410
LB,486,30,131,624
MH,0,0,0,246
MX,65,29,47,208
KW,60,15,15,143
LA,0,0,3,48
LU,10848,394,49,988
MG,0,0,1,9
JO,1556,13,49,416
MO,25,4,22,233
LS,1,1,0,0
MT,676,42,59,277
MK,2,2,0,2
MU,1217,53,25,1188
ME,13,2,2,16
NZ,75,18,6,317
NG,21,8,24,168
OM,2,1,15,48
PA,15895,583,176,5154
PG,0,0,0,2
PY,127,9,4,33
PH,40,12,42,330
NI,12,10,2,14
PK,3,3,26,178
PE,52,19,290,1391
RO,7,2,13,80
RU,4198,74,871,3199
PL,158,9,17,118
QA,27,6,16,83
SN,3,1,3,14
KN,189,7,13,675
LC,4,3,1,18
MF,0,0,0,1
SE,55,19,16,141
VI,4,1,0,20
RE,0,0,0,2
PS,0,0,0,16
SM,0,0,0,1
PR,1,1,0,8
NU,372,3,0,170
RW,0,0,0,3
VC,6,2,0,45
WS,1613,0,2,431
SC,686,7,29,1916
SG,4081,48,135,2275
SZ,0,0,0,22
VG,1108,30,121,12322
TW,2725,46,146,3661
TG,0,0,2,1
TT,6,3,1,15
TC,12,6,0,50